name,start,end
01 C++98/03,1998-09-01,2014-12-31
01 STL/C++11-26,2015-01-01,2025-07-01
03 Security clearance,1998-09-01,2019-11-01
04 Vi,1998-09-01,2025-07-01
05 TCP/UDP/IGMP,2000-01-01,2025-07-01
08 Unix/VxWorks,1998-09-01,2009-01-01
08 Linux,2009-01-01,2025-07-01
08 Win 10 dev/VS 2019,2019-10-07,2021-07-29
09 GNU Make,2009-01-01,2025-07-01
09 CMake,2021-03-17,2025-07-01
09 Ninja,2021-10-11,2025-07-01
10 Regex,2007-01-01,2024-11-01
11 Graphviz,2009-01-01,2024-06-01
11 Doxygen,2009-01-01,2024-06-01
11 Mermaid,2021-03-17,2025-07-01
11 Wikipedia,2011-02-02,2022-09-19
11 Confluence,2018-01-01,2025-07-01
15 VMware,2012-01-01,2019-10-22
15 VirtualBox,2021-10-11,2025-07-01
15 WSL,2020-01-22,2025-07-01
15 Docker/Docker hub,2019-01-22,2025-07-01
15 Ansible,2024-05-24,2025-04-01
18 Agile,2015-01-01,2025-07-01
21 git/GitHub/GitLab,2016-02-11,2025-07-01
21 Gerrit,2021-10-11,2024-06-01
21 Subversion,2012-01-01,2019-10-22
22 Jenkins,2015-01-01,2022-08-01
22 Travis CI,2018-01-01,2019-09-01
22 Gitlab CI,2019-07-01,2025-07-01
22 Jira,2015-01-01,2025-07-01
22 Slack,2021-10-11,2025-07-01
26 Cryptocurrency,2017-10-01,2024-11-01
31 Google Cloud,2019-01-01,2025-07-01
31 Fasthosts,2035-04-01,2025-07-01
31 AWS,2019-01-01,2019-07-01
31 Cloudflare,2021-07-29,2025-07-01
32 JUCE,2020-01-01,2021-03-31
32 Qt,2021-10-11,2025-07-01
23 R,2019-01-01,2019-12-31
23 Bash,2009-01-01,2025-07-01
23 Python,2020-09-14,2023-09-01
24 JavaScript,2016-07-05,2017-10-05
36 Hugo,2019-09-01,2022-02-03
36 GitBook,2022-02-03,2025-07-01
36 Solo,2025-06-01,2025-07-01
36 Jekyll,2024-09-01,2025-04-01
38 Blender,2019-11-23,2022-04-01
38 OpenSCAD,2023-11-30,2023-12-01
39 ZeroMQ,2020-01-30,2021-01-31
41 Raspberry Pi,2021-03-17,2022-04-01
42 XMPP,2022-02-03,2023-12-01
42 gSOAP,2022-02-03,2022-07-01
42 ONVIF,2024-05-01,2024-06-01
42 FIX,2022-11-01,2023-12-01
42 SIP,2022-02-28,2025-03-01
42 WAV,2012-02-28,2025-07-01
43 Haskell,2022-11-01,2023-03-01
43 Go,2024-11-01,2024-11-01
44 Google Test,2022-10-17,2023-05-01
44 Google Benchmark,2023-01-31,2024-06-01
45 ChatGPT,duck.ai,2023-02-07,2025-07-01
45 GitHub Copilot,2023-03-07,2025-07-01
46 Asterisk,2023-06-25,2025-04-01
47 Team lead,2025-03-01,2025-07-01
